#Title,Digilent WaveForms Spectrum Analyzer Data
#Device Name,Analog Discovery
#Serial Number,SN:210244693068
#Software Version,2.7.5
Frequency (Hz),Trace 1 (dB)
0,-21.9283916501554
24.4140625,-27.9592163857214
48.828125,-78.3854233581056
73.2421875,-79.3613225428316
97.65625,-73.7328855949124
122.0703125,-67.9560755962211
146.484375,-74.6080860889463
170.8984375,-86.7944092591775
195.3125,-80.0272341055954
219.7265625,-77.5301686837962
244.140625,-75.0464510638225
268.5546875,-78.6413719581635
292.96875,-91.391873048511
317.3828125,-78.4362853727257
341.796875,-76.4073054484806
366.2109375,-80.1927311817439
390.625,-81.3399419188524
415.0390625,-76.1319381639252
439.453125,-81.6553545209656
463.8671875,-75.4598470981662
488.28125,-79.8899384078795
512.6953125,-84.7822770640853
537.109375,-76.260813024259
561.5234375,-77.3228750682578
585.9375,-95.2130691653061
610.3515625,-84.8889279672628
634.765625,-89.7093457513969
659.1796875,-83.9159611852204
683.59375,-80.4679014730684
708.0078125,-79.4504120977152
732.421875,-77.354376426153
756.8359375,-91.601665162287
781.25,-79.6951388471106
805.6640625,-82.7763229981092
830.078125,-90.4694216865989
854.4921875,-87.8499494214926
878.90625,-94.9594151942816
903.3203125,-83.1772933426383
927.734375,-78.4983630079149
952.1484375,-81.228733175969
976.5625,-80.5192027537132
1000.9765625,-82.7567803205436
1025.390625,-87.5082117424139
1049.8046875,-89.6117287027178
1074.21875,-81.6050045710121
1098.6328125,-77.0083566689685
1123.046875,-78.71440359079
1147.4609375,-88.9540415951414
1171.875,-84.8924066686341
1196.2890625,-84.5209728523068
1220.703125,-90.4406282100628
1245.1171875,-78.3830992512082
1269.53125,-76.9833386388075
1293.9453125,-82.2359654147774
1318.359375,-103.312476190545
1342.7734375,-79.9370346233565
1367.1875,-78.5176682787103
1391.6015625,-97.0779898337542
1416.015625,-85.7794594636001
1440.4296875,-85.9162050245602
1464.84375,-76.3149118052201
1489.2578125,-77.3429878924463
1513.671875,-90.8223477059114
1538.0859375,-84.9173873364668
1562.5,-78.4713450270731
1586.9140625,-79.7697606231968
1611.328125,-76.8956010271064
1635.7421875,-72.6703561336022
1660.15625,-74.8288380909173
1684.5703125,-88.4303325913049
1708.984375,-79.378874200661
1733.3984375,-78.7883781841012
1757.8125,-79.7769047658156
1782.2265625,-85.6454256663585
1806.640625,-93.7942916291035
1831.0546875,-85.2160155495622
1855.46875,-94.184550026953
1879.8828125,-81.7001497442413
1904.296875,-77.1863719028528
1928.7109375,-84.3357349612434
1953.125,-87.0015617704624
1977.5390625,-85.40526954598
2001.953125,-85.1852653105476
2026.3671875,-81.5503493276502
2050.78125,-79.2333606598876
2075.1953125,-85.8421784474273
2099.609375,-82.17928036083
2124.0234375,-73.440896170958
2148.4375,-73.6350430653028
2172.8515625,-80.5088054517218
2197.265625,-84.9992267089796
2221.6796875,-88.1532244695838
2246.09375,-95.1932417614476
2270.5078125,-82.975926231747
2294.921875,-84.2034206088786
2319.3359375,-82.8678289711935
2343.75,-80.6347732106273
2368.1640625,-94.0298787613025
2392.578125,-76.4251712504429
2416.9921875,-76.4121957093249
2441.40625,-87.0468995078719
2465.8203125,-86.1230892234699
2490.234375,-81.7648044824539
2514.6484375,-71.0952356667471
2539.0625,-69.0205509309184
2563.4765625,-79.1113419632555
2587.890625,-76.4585414399363
2612.3046875,-73.3563602433791
2636.71875,-75.7186589085818
2661.1328125,-80.0818412997606
2685.546875,-91.3986805556455
2709.9609375,-81.9808314699854
2734.375,-83.9296150043606
2758.7890625,-83.9394936811477
2783.203125,-80.9358506253406
2807.6171875,-77.3703530226906
2832.03125,-81.662601764333
2856.4453125,-81.7570030101774
2880.859375,-77.0343763111794
2905.2734375,-76.187997236591
2929.6875,-80.8401956678336
2954.1015625,-79.2150865790647
2978.515625,-77.6773728924459
3002.9296875,-86.3824094518744
3027.34375,-78.626240832009
3051.7578125,-81.5728155481379
3076.171875,-85.8216149537152
3100.5859375,-80.8053578822073
3125,-84.0918102290095
3149.4140625,-78.5762215913902
3173.828125,-77.285681840924
3198.2421875,-68.9827945440403
3222.65625,-64.2516401724208
3247.0703125,-69.0258395001039
3271.484375,-78.5685174286455
3295.8984375,-81.526698003123
3320.3125,-87.8883287529206
3344.7265625,-78.6098024055613
3369.140625,-83.3811592636075
3393.5546875,-83.0713935733564
3417.96875,-77.7311296275333
3442.3828125,-80.2165264669935
3466.796875,-80.5906002183073
3491.2109375,-78.3133826088074
3515.625,-79.5832844183331
3540.0390625,-82.8816409391101
3564.453125,-74.123148817558
3588.8671875,-72.3410220088317
3613.28125,-87.4769482166734
3637.6953125,-78.1991069918184
3662.109375,-74.2477922110994
3686.5234375,-79.450588940493
3710.9375,-89.8342100863337
3735.3515625,-90.2885191744026
3759.765625,-80.2589743216637
3784.1796875,-76.30891193784
3808.59375,-79.4868091913633
3833.0078125,-82.2280350818905
3857.421875,-81.9801337507273
3881.8359375,-91.3827339974134
3906.25,-81.3557420937599
3930.6640625,-77.2097791966748
3955.078125,-77.8190532081838
3979.4921875,-81.6439890032416
4003.90625,-86.4911133962819
4028.3203125,-87.9256349991215
4052.734375,-89.0068107422082
4077.1484375,-78.4622246132485
4101.5625,-75.3871228053142
4125.9765625,-83.9780079937852
4150.390625,-78.8402672335955
4174.8046875,-82.1692355629544
4199.21875,-77.7099407186968
4223.6328125,-76.0578667825006
4248.046875,-75.1859998517535
4272.4609375,-72.5843876255796
4296.875,-69.9554795285492
4321.2890625,-74.5672732323097
4345.703125,-89.7252148510509
4370.1171875,-81.9585147886685
4394.53125,-77.4691455642239
4418.9453125,-74.8265187971625
4443.359375,-74.6606328730813
4467.7734375,-76.1824787934276
4492.1875,-77.2662266244697
4516.6015625,-75.0176337292221
4541.015625,-74.1940210922963
4565.4296875,-75.5057167760728
4589.84375,-85.1775909779715
4614.2578125,-86.905096966758
4638.671875,-101.050571312969
4663.0859375,-84.8489418766134
4687.5,-80.2062915273839
4711.9140625,-79.0700377425998
4736.328125,-76.5110804212178
4760.7421875,-75.3056751507977
4785.15625,-74.1911671843598
4809.5703125,-73.8329280383341
4833.984375,-77.2703264931403
