#Title,Digilent WaveForms Spectrum Analyzer Data
#Device Name,Analog Discovery
#Serial Number,SN:210244693068
#Software Version,2.7.5
Frequency (Hz),Trace 1 (dB)
0,-21.7373620398573
244.140625,-27.7180005225116
488.28125,-65.9885849780313
732.421875,-61.8753189696614
976.5625,-62.8836887807479
1220.703125,-75.3551530502178
1464.84375,-89.9014364351515
1708.984375,-75.6531136929418
1953.125,-74.5962871673942
2197.265625,-74.72208018824
2441.40625,-69.9706723689085
2685.546875,-62.3954088901473
2929.6875,-70.0043964422134
3173.828125,-67.5407607583513
3417.96875,-70.0660080279738
3662.109375,-71.0413823492415
3906.25,-83.67342003278
4150.390625,-85.2638365327635
4394.53125,-69.1889565065406
4638.671875,-66.7628760860032
4882.8125,-81.7195351069861
5126.953125,-94.1321304710869
5371.09375,-74.5833880971693
5615.234375,-66.777803276832
5859.375,-64.2256242125986
6103.515625,-69.9064924715835
6347.65625,-67.1552232314338
6591.796875,-63.89517534145
6835.9375,-65.4753034632357
7080.078125,-65.6917055703324
7324.21875,-66.2206048394825
7568.359375,-64.3724462539797
7812.5,-74.8689334810275
8056.640625,-64.4395419053822
8300.78125,-62.0243788544209
8544.921875,-69.8033087414353
8789.0625,-79.7116891522294
9033.203125,-68.0679589282167
9277.34375,-70.9440890462298
9521.484375,-69.9862307445317
9765.625,-72.90949085101
10009.765625,-79.4929528540206
10253.90625,-77.5721619758264
10498.046875,-76.0034255207668
10742.1875,-69.8509381147628
10986.328125,-71.4967994175915
11230.46875,-64.1519171556604
11474.609375,-63.4247567684284
11718.75,-62.3864575114878
11962.890625,-61.9651453336191
12207.03125,-67.549090089261
12451.171875,-68.0903634849252
12695.3125,-68.3658676528892
12939.453125,-67.7979164804319
13183.59375,-59.9725091396938
13427.734375,-61.9776978438019
13671.875,-66.9849073942543
13916.015625,-68.2498178764718
14160.15625,-73.9167791439534
14404.296875,-66.8313424936622
14648.4375,-61.6817317406716
14892.578125,-62.6978911738706
15136.71875,-63.6981755717148
15380.859375,-60.6202504884824
15625,-61.8467648534553
15869.140625,-67.0336894439416
16113.28125,-63.1763223758009
16357.421875,-61.3086845866519
16601.5625,-62.8934006269944
16845.703125,-58.9285137861564
17089.84375,-61.0781721381797
17333.984375,-71.6831175014867
17578.125,-63.6723142411649
17822.265625,-64.4225749933559
18066.40625,-64.1654828966431
18310.546875,-61.7226616655819
18554.6875,-66.8903808335121
18798.828125,-64.3186989215611
19042.96875,-59.8285192467558
19287.109375,-57.8629439499288
19531.25,-66.8146811345372
19775.390625,-59.0624919602014
20019.53125,-56.8975517149792
20263.671875,-58.9462005732618
20507.8125,-62.7965933217883
20751.953125,-64.5112690834067
20996.09375,-61.4398229927827
21240.234375,-64.397226788127
21484.375,-64.0591540987965
21728.515625,-67.967317803151
21972.65625,-69.6115100448572
22216.796875,-67.5674665721081
22460.9375,-67.410725001705
22705.078125,-62.7488867371606
22949.21875,-65.6742475242613
23193.359375,-66.2068555659438
23437.5,-60.8667868390388
23681.640625,-75.3188965345683
23925.78125,-62.6241166401052
24169.921875,-61.1464541001777
24414.0625,-60.558545049922
24658.203125,-60.7076458580119
24902.34375,-70.4488688704495
25146.484375,-65.6268139987234
25390.625,-58.5772398281576
25634.765625,-54.8162991435012
25878.90625,-53.8865371939249
26123.046875,-52.3644053414175
26367.1875,-60.2395875113172
26611.328125,-57.2422252973824
26855.46875,-67.7579753315682
27099.609375,-81.3900946720957
27343.75,-55.1996008669579
27587.890625,-55.5140569333071
27832.03125,-52.8968995126348
28076.171875,-60.2136007068147
28320.3125,-65.5614937621627
28564.453125,-58.3898823391041
28808.59375,-60.8298955064149
29052.734375,-61.4331499677094
29296.875,-55.7234694886402
29541.015625,-58.9613565780535
29785.15625,-79.1758342800716
30029.296875,-60.5334655026378
30273.4375,-70.8926254050696
30517.578125,-56.3804963695808
30761.71875,-54.9714590381513
31005.859375,-59.6306203984346
31250,-56.175452044609
31494.140625,-55.4650495615119
31738.28125,-58.5562783002148
31982.421875,-64.6875721267815
32226.5625,-53.1045556286693
32470.703125,-50.0114186517216
32714.84375,-43.7180285423729
32958.984375,-47.1798643408141
33203.125,-58.3599405139729
33447.265625,-56.6259664368675
33691.40625,-61.9338288762459
33935.546875,-57.4300791377226
34179.6875,-64.7616786084898
34423.828125,-65.5437117821403
34667.96875,-52.2534775748431
34912.109375,-49.9768733643841
35156.25,-53.7903013439044
35400.390625,-56.1373759683394
35644.53125,-65.8328458847402
35888.671875,-54.4233422095873
36132.8125,-54.5402602499734
36376.953125,-53.6865990438384
36621.09375,-56.7662311470373
36865.234375,-64.4658138903463
37109.375,-74.6338387242233
37353.515625,-55.3078182981979
37597.65625,-54.2642263235186
37841.796875,-54.9042245744444
38085.9375,-52.7173353634911
38330.078125,-53.4837866716168
38574.21875,-56.8849311775537
38818.359375,-56.9786166460726
39062.5,-55.8005659173024
39306.640625,-58.0442207776204
39550.78125,-59.0948605893631
39794.921875,-71.4021150675384
40039.0625,-67.2898099566486
40283.203125,-55.7065546638348
40527.34375,-52.8621711704446
40771.484375,-54.0601358042839
41015.625,-58.0060728679408
41259.765625,-61.1047853535933
41503.90625,-57.2596792393084
41748.046875,-51.1323478389167
41992.1875,-49.6856935505152
42236.328125,-55.7581859055964
42480.46875,-54.73565509276
42724.609375,-53.3359965808889
42968.75,-73.8860851873493
43212.890625,-53.3033533893893
43457.03125,-50.6509626342796
43701.171875,-48.7979622040655
43945.3125,-50.0380621355647
44189.453125,-56.1875985578756
44433.59375,-84.2343103120942
44677.734375,-55.4977835650882
44921.875,-51.9836834160252
45166.015625,-51.7351690847334
45410.15625,-56.6639924248863
45654.296875,-60.0233516479487
45898.4375,-57.9700352652997
46142.578125,-60.3482811671239
46386.71875,-61.1086463656314
46630.859375,-60.0355127464335
46875,-62.0582740340628
47119.140625,-61.8960315182959
47363.28125,-56.8412196758259
47607.421875,-53.1039611441804
47851.5625,-57.1249658829782
48095.703125,-71.7712330045246
48339.84375,-58.6842877533263
48583.984375,-55.5232491402873
48828.125,-54.5504963087373
49072.265625,-53.9190197734425
49316.40625,-52.3230109470854
49560.546875,-52.2044471237693
49804.6875,-51.3344237736041
50048.828125,-51.8259277747177
50292.96875,-57.1041387759263
50537.109375,-50.4862122549589
50781.25,-48.3651925052369
51025.390625,-51.9661518557216
51269.53125,-62.3612663587039
51513.671875,-55.261173146894
51757.8125,-51.7569288296391
52001.953125,-50.8319065206161
52246.09375,-54.2813403487353
52490.234375,-51.8213939424494
52734.375,-55.3030861614007
52978.515625,-57.0822189751904
53222.65625,-55.6123276216653
53466.796875,-59.0893325997141
53710.9375,-55.3853663441876
53955.078125,-49.3597069983445
54199.21875,-47.851796892604
54443.359375,-53.0821712976731
54687.5,-75.6956421216624
54931.640625,-58.8933271225059
55175.78125,-61.4888470440488
55419.921875,-53.0638519264598
55664.0625,-52.9807801160051
55908.203125,-59.2886470218092
56152.34375,-56.5663796678424
56396.484375,-57.1907192829634
56640.625,-56.6978603797871
56884.765625,-57.7414541955077
57128.90625,-52.9490570187477
57373.046875,-52.1963096713841
57617.1875,-58.7986854200703
57861.328125,-69.8625035528503
58105.46875,-51.6679277264794
58349.609375,-50.9819917671798
58593.75,-54.2482521834616
58837.890625,-76.5084295981153
59082.03125,-62.0369700072509
59326.171875,-58.1346953148258
59570.3125,-59.2888366260892
59814.453125,-57.1544023451051
60058.59375,-51.1699585206921
60302.734375,-54.438758837605
60546.875,-59.5971444668633
60791.015625,-63.1176896282685
61035.15625,-58.6101068930034
61279.296875,-53.923521543487
61523.4375,-56.9301030655832
61767.578125,-57.8228646255233
62011.71875,-51.206651575066
62255.859375,-55.1726083967858
62500,-64.960572617923
62744.140625,-51.7397289103685
62988.28125,-49.7562341140466
63232.421875,-55.3628105111849
63476.5625,-63.3573832482383
63720.703125,-62.7188355536952
63964.84375,-51.5921145683659
64208.984375,-54.1886934425103
64453.125,-57.523713531287
64697.265625,-59.0734534975446
64941.40625,-52.2666546805385
65185.546875,-54.9641832853928
65429.6875,-66.4003324981517
65673.828125,-58.834110164318
65917.96875,-52.9785709105056
66162.109375,-55.6886271600491
66406.25,-63.5824514953952
66650.390625,-51.9864881611158
66894.53125,-62.9763035980159
67138.671875,-54.3891382766746
67382.8125,-54.6620142388717
67626.953125,-59.5315835679632
67871.09375,-55.0502600596191
68115.234375,-52.5469604313741
68359.375,-52.9059759450164
68603.515625,-52.7106536885018
68847.65625,-55.6490364596856
69091.796875,-61.4934817217487
69335.9375,-66.5097905712107
69580.078125,-61.2569158828609
69824.21875,-68.3705331625632
70068.359375,-61.0421622566521
70312.5,-53.5060349837135
70556.640625,-49.4099756203623
70800.78125,-55.8844400709984
71044.921875,-52.591171005408
71289.0625,-64.0607388467651
71533.203125,-49.5206465420127
71777.34375,-53.2360482828279
72021.484375,-54.693020098011
72265.625,-61.4337681051966
