Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:03:21 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),15.988364,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+3.000000000e+01,MAN
VBW,+3.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,652.0 Hz,81.25 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+5.560181811e-02,
+2.173913043e+02,+7.797290721e-05,
+4.347826087e+02,+7.090204875e-05,
+6.521739130e+02,+8.124968527e-05,
+8.695652174e+02,+6.954417004e-05,
+1.086956522e+03,+7.166151944e-05,
+1.304347826e+03,+5.477752854e-05,
+1.521739130e+03,+6.162189043e-05,
+1.739130435e+03,+6.477568803e-05,
+1.956521739e+03,+7.295858241e-05,
+2.173913043e+03,+4.449836215e-05,
+2.391304348e+03,+4.415344414e-05,
+2.608695652e+03,+4.660578758e-05,
+2.826086957e+03,+4.336162474e-05,
+3.043478261e+03,+5.603813126e-05,
+3.260869565e+03,+5.301737791e-05,
+3.478260870e+03,+7.331164165e-05,
+3.695652174e+03,+5.983685396e-05,
+3.913043478e+03,+8.260622448e-05,
+4.130434783e+03,+6.370149341e-05,
+4.347826087e+03,+5.138477858e-05,
+4.565217391e+03,+3.134884385e-05,
+4.782608696e+03,+5.460938552e-05,
+5.000000000e+03,+3.272899116e-05,
+5.217391304e+03,+3.771323799e-05,
+5.434782609e+03,+3.122838658e-05,
+5.652173913e+03,+3.496774197e-05,
+5.869565217e+03,+3.447520464e-05,
+6.086956522e+03,+3.178373136e-05,
+6.304347826e+03,+2.733982896e-05,
+6.521739130e+03,+2.376114959e-05,
+6.739130435e+03,+2.472684044e-05,
+6.956521739e+03,+3.123466867e-05,
+7.173913043e+03,+4.662834931e-05,
+7.391304348e+03,+3.069007658e-05,
+7.608695652e+03,+3.877338962e-05,
+7.826086957e+03,+2.234361837e-05,
+8.043478261e+03,+3.067059276e-05,
+8.260869565e+03,+2.155969260e-05,
+8.478260870e+03,+3.284689754e-05,
+8.695652174e+03,+1.984328234e-05,
+8.913043478e+03,+2.468651903e-05,
+9.130434783e+03,+2.415253863e-05,
+9.347826087e+03,+1.844193835e-05,
+9.565217391e+03,+3.393316555e-05,
+9.782608696e+03,+2.740431147e-05,
+1.000000000e+04,+2.298836928e-05,
+1.021739130e+04,+2.572649020e-05,
+1.043478261e+04,+3.072913535e-05,
+1.065217391e+04,+3.685754456e-05,
+1.086956522e+04,+2.662532161e-05,
+1.108695652e+04,+1.319559065e-05,
+1.130434783e+04,+2.202456399e-05,
+1.152173913e+04,+2.312984546e-05,
+1.173913043e+04,+2.673300107e-05,
+1.195652174e+04,+2.623148317e-05,
+1.217391304e+04,+2.514312309e-05,
+1.239130435e+04,+3.867658375e-05,
+1.260869565e+04,+3.686946028e-05,
+1.282608696e+04,+4.193380797e-05,
+1.304347826e+04,+3.964645933e-05,
+1.326086957e+04,+1.372662255e-05,
+1.347826087e+04,+3.227343003e-05,
+1.369565217e+04,+3.617768449e-05,
+1.391304348e+04,+1.850702625e-05,
+1.413043478e+04,+2.680452692e-05,
+1.434782609e+04,+1.814581422e-05,
+1.456521739e+04,+2.381401193e-05,
+1.478260870e+04,+2.568494477e-05,
+1.500000000e+04,+2.498055411e-05,
+1.521739130e+04,+2.914044754e-05,
+1.543478261e+04,+2.402784293e-05,
+1.565217391e+04,+2.660087026e-05,
+1.586956522e+04,+3.127626110e-05,
+1.608695652e+04,+2.439050265e-05,
+1.630434783e+04,+2.310034444e-05,
+1.652173913e+04,+2.003937006e-05,
+1.673913043e+04,+2.490512165e-05,
+1.695652174e+04,+2.332232795e-05,
+1.717391304e+04,+2.628600835e-05,
+1.739130435e+04,+2.710333145e-05,
+1.760869565e+04,+1.827712766e-05,
+1.782608696e+04,+2.192086477e-05,
+1.804347826e+04,+1.955489804e-05,
+1.826086957e+04,+2.930760626e-05,
+1.847826087e+04,+3.183114313e-05,
+1.869565217e+04,+1.777378319e-05,
+1.891304348e+04,+1.678385230e-05,
+1.913043478e+04,+2.084411429e-05,
+1.934782609e+04,+2.590665356e-05,
+1.956521739e+04,+1.327172766e-05,
+1.978260870e+04,+2.442830207e-05,
+2.000000000e+04,+1.863802298e-05,
+2.021739130e+04,+3.684068134e-05,
+2.043478261e+04,+2.155832916e-05,
+2.065217391e+04,+1.909828639e-05,
+2.086956522e+04,+2.460832121e-05,
+2.108695652e+04,+2.314447795e-05,
+2.130434783e+04,+2.442171565e-05,
+2.152173913e+04,+1.310153391e-05,
+2.173913043e+04,+3.858283232e-05,
+2.195652174e+04,+2.417614099e-05,
+2.217391304e+04,+1.994652450e-05,
+2.239130435e+04,+2.531450901e-05,
+2.260869565e+04,+2.211462748e-05,
+2.282608696e+04,+1.800452886e-05,
+2.304347826e+04,+2.854132145e-05,
+2.326086957e+04,+2.492418278e-05,
+2.347826087e+04,+2.026525162e-05,
+2.369565217e+04,+1.932866437e-05,
+2.391304348e+04,+2.789018155e-05,
+2.413043478e+04,+2.121186671e-05,
+2.434782609e+04,+2.075738349e-05,
+2.456521739e+04,+2.535935305e-05,
+2.478260870e+04,+2.168507994e-05,
+2.500000000e+04,+3.507060223e-05,
+2.521739130e+04,+2.166105538e-05,
+2.543478261e+04,+2.378629156e-05,
+2.565217391e+04,+3.623559720e-05,
+2.586956522e+04,+2.498737903e-05,
+2.608695652e+04,+3.587510273e-05,
+2.630434783e+04,+2.182545489e-05,
+2.652173913e+04,+2.589798515e-05,
+2.673913043e+04,+1.947549873e-05,
