Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:19:57 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),4.380534,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.400000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,15.2 kHz,47.19 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+3.203301844e-02,
+2.173913043e+03,+9.425263583e-05,
+4.347826087e+03,+1.022054768e-04,
+6.521739130e+03,+7.378005619e-05,
+8.695652174e+03,+6.248299776e-05,
+1.086956522e+04,+5.347313758e-05,
+1.304347826e+04,+4.231037758e-05,
+1.521739130e+04,+4.719131314e-05,
+1.739130435e+04,+3.832225590e-05,
+1.956521739e+04,+2.515460985e-05,
+2.173913043e+04,+2.919324866e-05,
+2.391304348e+04,+2.376306980e-05,
+2.608695652e+04,+2.314785287e-05,
+2.826086957e+04,+2.351193031e-05,
+3.043478261e+04,+2.277688560e-05,
+3.260869565e+04,+2.263846315e-05,
+3.478260870e+04,+1.534491795e-05,
+3.695652174e+04,+2.569507656e-05,
+3.913043478e+04,+2.139507728e-05,
+4.130434783e+04,+1.978941075e-05,
+4.347826087e+04,+2.138196399e-05,
+4.565217391e+04,+1.795076067e-05,
+4.782608696e+04,+1.615923997e-05,
+5.000000000e+04,+1.768326254e-05,
+5.217391304e+04,+1.845472362e-05,
+5.434782609e+04,+1.667098261e-05,
+5.652173913e+04,+2.281344670e-05,
+5.869565217e+04,+2.132091849e-05,
+6.086956522e+04,+2.329472977e-05,
+6.304347826e+04,+1.963886411e-05,
+6.521739130e+04,+2.040566413e-05,
+6.739130435e+04,+2.079254745e-05,
+6.956521739e+04,+2.716966642e-05,
+7.173913043e+04,+1.514606252e-05,
+7.391304348e+04,+2.129142424e-05,
+7.608695652e+04,+2.053880331e-05,
+7.826086957e+04,+1.774579751e-05,
+8.043478261e+04,+2.299976051e-05,
+8.260869565e+04,+2.077617156e-05,
+8.478260870e+04,+2.298449271e-05,
+8.695652174e+04,+2.118734283e-05,
+8.913043478e+04,+2.013517673e-05,
+9.130434783e+04,+2.199784454e-05,
+9.347826087e+04,+2.439673777e-05,
+9.565217391e+04,+2.420157327e-05,
+9.782608696e+04,+2.181514347e-05,
+1.000000000e+05,+2.195836617e-05,
+1.021739130e+05,+1.844133901e-05,
+1.043478261e+05,+2.322059389e-05,
+1.065217391e+05,+2.569085638e-05,
+1.086956522e+05,+2.035679118e-05,
+1.108695652e+05,+2.202789169e-05,
+1.130434783e+05,+2.363494508e-05,
+1.152173913e+05,+1.909972912e-05,
+1.173913043e+05,+3.192497314e-05,
+1.195652174e+05,+2.435851648e-05,
+1.217391304e+05,+2.099620820e-05,
+1.239130435e+05,+2.715225061e-05,
+1.260869565e+05,+2.256459234e-05,
+1.282608696e+05,+2.488159438e-05,
+1.304347826e+05,+2.473442162e-05,
+1.326086957e+05,+2.135773120e-05,
+1.347826087e+05,+1.946113447e-05,
+1.369565217e+05,+2.574631565e-05,
+1.391304348e+05,+2.322595871e-05,
+1.413043478e+05,+1.631677270e-05,
+1.434782609e+05,+2.540760157e-05,
+1.456521739e+05,+1.839193583e-05,
+1.478260870e+05,+2.153251577e-05,
+1.500000000e+05,+2.181307410e-05,
+1.521739130e+05,+2.397368466e-05,
+1.543478261e+05,+2.351153793e-05,
+1.565217391e+05,+2.149321173e-05,
+1.586956522e+05,+2.217358233e-05,
+1.608695652e+05,+2.256514731e-05,
+1.630434783e+05,+2.232270697e-05,
+1.652173913e+05,+2.194498473e-05,
+1.673913043e+05,+2.446317310e-05,
+1.695652174e+05,+2.650040270e-05,
+1.717391304e+05,+2.476524812e-05,
+1.739130435e+05,+2.490433413e-05,
+1.760869565e+05,+2.642620636e-05,
+1.782608696e+05,+2.218135483e-05,
+1.804347826e+05,+2.309979660e-05,
+1.826086957e+05,+2.859135432e-05,
+1.847826087e+05,+2.126342755e-05,
+1.869565217e+05,+1.808838262e-05,
+1.891304348e+05,+2.251426615e-05,
+1.913043478e+05,+2.512402693e-05,
+1.934782609e+05,+2.940603150e-05,
+1.956521739e+05,+2.448660584e-05,
+1.978260870e+05,+2.122549093e-05,
+2.000000000e+05,+2.620403284e-05,
+2.021739130e+05,+2.365438457e-05,
+2.043478261e+05,+2.480931528e-05,
+2.065217391e+05,+2.083814648e-05,
+2.086956522e+05,+2.193222790e-05,
+2.108695652e+05,+2.208857482e-05,
+2.130434783e+05,+3.137746658e-05,
+2.152173913e+05,+2.740775385e-05,
+2.173913043e+05,+2.268029975e-05,
+2.195652174e+05,+2.523884402e-05,
+2.217391304e+05,+2.379003172e-05,
+2.239130435e+05,+2.045355847e-05,
+2.260869565e+05,+2.076398474e-05,
+2.282608696e+05,+2.853009242e-05,
+2.304347826e+05,+2.461731475e-05,
+2.326086957e+05,+2.737147421e-05,
+2.347826087e+05,+2.314612469e-05,
+2.369565217e+05,+2.044556529e-05,
+2.391304348e+05,+2.843594777e-05,
+2.413043478e+05,+2.339617211e-05,
+2.434782609e+05,+1.569788717e-05,
+2.456521739e+05,+2.841003327e-05,
+2.478260870e+05,+2.363137461e-05,
+2.500000000e+05,+2.275275061e-05,
+2.521739130e+05,+2.525372377e-05,
+2.543478261e+05,+2.826052683e-05,
+2.565217391e+05,+2.208159126e-05,
+2.586956522e+05,+3.105463657e-05,
+2.608695652e+05,+2.427913965e-05,
+2.630434783e+05,+2.822537438e-05,
+2.652173913e+05,+1.645156089e-05,
+2.673913043e+05,+2.915055971e-05,
