Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
16:04:54 02.20.2018
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),6.570405,AUTO
Start Frequency,+2.999990000e+07
Stop Frequency,+3.150000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-2.700000000e+01
Attenuation,10,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,29.999 MHz,-25.88 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+2.999990000e+07,-2.588092041e+01,
+3.000316109e+07,-7.651628113e+01,
+3.000642217e+07,-7.787820435e+01,
+3.000968326e+07,-7.672380829e+01,
+3.001294435e+07,-7.911904907e+01,
+3.001620543e+07,-7.756418610e+01,
+3.001946652e+07,-7.580091858e+01,
+3.002272761e+07,-7.759066772e+01,
+3.002598870e+07,-7.809996033e+01,
+3.002924978e+07,-7.704362488e+01,
+3.003251087e+07,-7.055689240e+01,
+3.003577196e+07,-7.538182831e+01,
+3.003903304e+07,-7.708074188e+01,
+3.004229413e+07,-7.897731781e+01,
+3.004555522e+07,-7.713861084e+01,
+3.004881630e+07,-7.746948242e+01,
+3.005207739e+07,-7.642011261e+01,
+3.005533848e+07,-7.729969788e+01,
+3.005859957e+07,-7.743894196e+01,
+3.006186065e+07,-7.867839050e+01,
+3.006512174e+07,-7.500034332e+01,
+3.006838283e+07,-7.700344086e+01,
+3.007164391e+07,-7.678710175e+01,
+3.007490500e+07,-7.524785614e+01,
+3.007816609e+07,-7.687513733e+01,
+3.008142717e+07,-7.778320313e+01,
+3.008468826e+07,-7.522094727e+01,
+3.008794935e+07,-7.510005951e+01,
+3.009121043e+07,-7.585208893e+01,
+3.009447152e+07,-7.438738251e+01,
+3.009773261e+07,-7.566261292e+01,
+3.010099370e+07,-7.471903992e+01,
+3.010425478e+07,-7.599427032e+01,
+3.010751587e+07,-7.663306427e+01,
+3.011077696e+07,-7.594597626e+01,
+3.011403804e+07,-7.562969208e+01,
+3.011729913e+07,-7.571350861e+01,
+3.012056022e+07,-7.598100281e+01,
+3.012382130e+07,-7.558962250e+01,
+3.012708239e+07,-7.568274689e+01,
+3.013034348e+07,-7.502907562e+01,
+3.013360457e+07,-7.460559082e+01,
+3.013686565e+07,-7.697791290e+01,
+3.014012674e+07,-7.568303680e+01,
+3.014338783e+07,-7.484009552e+01,
+3.014664891e+07,-7.697135925e+01,
+3.014991000e+07,-7.560784912e+01,
+3.015317109e+07,-7.519659424e+01,
+3.015643217e+07,-7.684152985e+01,
+3.015969326e+07,-7.533961487e+01,
+3.016295435e+07,-7.534780121e+01,
+3.016621543e+07,-7.625273132e+01,
+3.016947652e+07,-7.591395569e+01,
+3.017273761e+07,-7.607878113e+01,
+3.017599870e+07,-7.647882080e+01,
+3.017925978e+07,-7.519926453e+01,
+3.018252087e+07,-7.404381561e+01,
+3.018578196e+07,-7.601848602e+01,
+3.018904304e+07,-7.778180695e+01,
+3.019230413e+07,-7.586495972e+01,
+3.019556522e+07,-7.579038239e+01,
+3.019882630e+07,-7.640650177e+01,
+3.020208739e+07,-7.474747467e+01,
+3.020534848e+07,-7.472636414e+01,
+3.020860957e+07,-7.709668732e+01,
+3.021187065e+07,-7.418490601e+01,
+3.021513174e+07,-7.502796936e+01,
+3.021839283e+07,-7.530694580e+01,
+3.022165391e+07,-7.698942566e+01,
+3.022491500e+07,-7.533779907e+01,
+3.022817609e+07,-7.410920715e+01,
+3.023143717e+07,-7.477958679e+01,
+3.023469826e+07,-7.486460114e+01,
+3.023795935e+07,-7.462483978e+01,
+3.024122043e+07,-7.573950195e+01,
+3.024448152e+07,-7.560387421e+01,
+3.024774261e+07,-7.495424652e+01,
+3.025100370e+07,-7.362096405e+01,
+3.025426478e+07,-7.388514709e+01,
+3.025752587e+07,-7.411833191e+01,
+3.026078696e+07,-7.452098846e+01,
+3.026404804e+07,-7.516268158e+01,
+3.026730913e+07,-7.579555511e+01,
+3.027057022e+07,-7.426330566e+01,
+3.027383130e+07,-7.288306427e+01,
+3.027709239e+07,-7.429720306e+01,
+3.028035348e+07,-7.506908417e+01,
+3.028361457e+07,-7.305488586e+01,
+3.028687565e+07,-7.602195740e+01,
+3.029013674e+07,-7.268747711e+01,
+3.029339783e+07,-7.559519958e+01,
+3.029665891e+07,-7.595793152e+01,
+3.029992000e+07,-7.390218353e+01,
+3.030318109e+07,-7.436513519e+01,
+3.030644217e+07,-7.495313263e+01,
+3.030970326e+07,-7.252291107e+01,
+3.031296435e+07,-7.451711273e+01,
+3.031622543e+07,-7.354905701e+01,
+3.031948652e+07,-7.494563293e+01,
+3.032274761e+07,-7.555171967e+01,
+3.032600870e+07,-7.376763916e+01,
+3.032926978e+07,-7.349440765e+01,
+3.033253087e+07,-7.317758942e+01,
+3.033579196e+07,-7.362709045e+01,
+3.033905304e+07,-7.261813354e+01,
+3.034231413e+07,-7.301786804e+01,
+3.034557522e+07,-7.467967987e+01,
+3.034883630e+07,-7.467314911e+01,
+3.035209739e+07,-7.146134949e+01,
+3.035535848e+07,-7.473757935e+01,
+3.035861957e+07,-7.475372314e+01,
+3.036188065e+07,-7.272207642e+01,
+3.036514174e+07,-7.462702942e+01,
+3.036840283e+07,-7.270674133e+01,
+3.037166391e+07,-7.446839142e+01,
+3.037492500e+07,-7.327456665e+01,
+3.037818609e+07,-7.320801544e+01,
+3.038144717e+07,-7.355696106e+01,
+3.038470826e+07,-7.489813232e+01,
+3.038796935e+07,-7.215476990e+01,
+3.039123043e+07,-7.379749298e+01,
+3.039449152e+07,-7.249099731e+01,
+3.039775261e+07,-7.250643158e+01,
