Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
16:05:01 02.20.2018
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),6.570405,AUTO
Start Frequency,+2.999990000e+07
Stop Frequency,+3.150000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-2.700000000e+01
Attenuation,10,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,29.999 MHz,-25.89 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+2.999990000e+07,-2.589050293e+01,
+3.000316109e+07,-7.457207489e+01,
+3.000642217e+07,-7.619658661e+01,
+3.000968326e+07,-7.810639191e+01,
+3.001294435e+07,-7.741842651e+01,
+3.001620543e+07,-7.763818359e+01,
+3.001946652e+07,-7.697869873e+01,
+3.002272761e+07,-7.695381927e+01,
+3.002598870e+07,-7.618795013e+01,
+3.002924978e+07,-7.865660858e+01,
+3.003251087e+07,-7.159605408e+01,
+3.003577196e+07,-7.662638855e+01,
+3.003903304e+07,-7.813729858e+01,
+3.004229413e+07,-7.813949585e+01,
+3.004555522e+07,-7.600572968e+01,
+3.004881630e+07,-7.667112732e+01,
+3.005207739e+07,-7.581632996e+01,
+3.005533848e+07,-7.575978851e+01,
+3.005859957e+07,-7.803852844e+01,
+3.006186065e+07,-7.552903748e+01,
+3.006512174e+07,-7.766062927e+01,
+3.006838283e+07,-7.655271912e+01,
+3.007164391e+07,-7.671136475e+01,
+3.007490500e+07,-7.650872040e+01,
+3.007816609e+07,-7.706912231e+01,
+3.008142717e+07,-7.431596375e+01,
+3.008468826e+07,-7.756362152e+01,
+3.008794935e+07,-7.720185089e+01,
+3.009121043e+07,-7.557319641e+01,
+3.009447152e+07,-7.764076996e+01,
+3.009773261e+07,-7.699440765e+01,
+3.010099370e+07,-7.825684357e+01,
+3.010425478e+07,-7.568356323e+01,
+3.010751587e+07,-7.670276642e+01,
+3.011077696e+07,-7.623386383e+01,
+3.011403804e+07,-7.714207458e+01,
+3.011729913e+07,-7.638680267e+01,
+3.012056022e+07,-7.580090332e+01,
+3.012382130e+07,-7.663452911e+01,
+3.012708239e+07,-7.627541351e+01,
+3.013034348e+07,-7.553956604e+01,
+3.013360457e+07,-7.576568604e+01,
+3.013686565e+07,-7.541096497e+01,
+3.014012674e+07,-7.658710480e+01,
+3.014338783e+07,-7.459066010e+01,
+3.014664891e+07,-7.522997284e+01,
+3.014991000e+07,-7.647968292e+01,
+3.015317109e+07,-7.580546570e+01,
+3.015643217e+07,-7.625920868e+01,
+3.015969326e+07,-7.542664337e+01,
+3.016295435e+07,-7.523335266e+01,
+3.016621543e+07,-7.472956848e+01,
+3.016947652e+07,-7.609178925e+01,
+3.017273761e+07,-7.457159424e+01,
+3.017599870e+07,-7.543173218e+01,
+3.017925978e+07,-7.522286987e+01,
+3.018252087e+07,-7.450505066e+01,
+3.018578196e+07,-7.443785858e+01,
+3.018904304e+07,-7.403002167e+01,
+3.019230413e+07,-7.522009277e+01,
+3.019556522e+07,-7.401942444e+01,
+3.019882630e+07,-7.475344849e+01,
+3.020208739e+07,-7.594799805e+01,
+3.020534848e+07,-7.685664368e+01,
+3.020860957e+07,-7.477940369e+01,
+3.021187065e+07,-7.701036072e+01,
+3.021513174e+07,-7.605056763e+01,
+3.021839283e+07,-7.437271881e+01,
+3.022165391e+07,-7.617875671e+01,
+3.022491500e+07,-7.443556976e+01,
+3.022817609e+07,-7.539908600e+01,
+3.023143717e+07,-7.748467255e+01,
+3.023469826e+07,-7.407591248e+01,
+3.023795935e+07,-7.539455414e+01,
+3.024122043e+07,-7.407910156e+01,
+3.024448152e+07,-7.613991547e+01,
+3.024774261e+07,-7.456323242e+01,
+3.025100370e+07,-7.408399200e+01,
+3.025426478e+07,-7.409563446e+01,
+3.025752587e+07,-7.362557220e+01,
+3.026078696e+07,-7.381705475e+01,
+3.026404804e+07,-7.450895691e+01,
+3.026730913e+07,-7.414209747e+01,
+3.027057022e+07,-7.604302979e+01,
+3.027383130e+07,-7.467040253e+01,
+3.027709239e+07,-7.341998291e+01,
+3.028035348e+07,-7.349633026e+01,
+3.028361457e+07,-7.305463409e+01,
+3.028687565e+07,-7.407566833e+01,
+3.029013674e+07,-7.488757324e+01,
+3.029339783e+07,-7.496904755e+01,
+3.029665891e+07,-7.488985443e+01,
+3.029992000e+07,-7.474208832e+01,
+3.030318109e+07,-7.269230652e+01,
+3.030644217e+07,-7.491899109e+01,
+3.030970326e+07,-7.417601013e+01,
+3.031296435e+07,-7.443504333e+01,
+3.031622543e+07,-7.512047577e+01,
+3.031948652e+07,-7.516085815e+01,
+3.032274761e+07,-7.512811279e+01,
+3.032600870e+07,-7.479293060e+01,
+3.032926978e+07,-7.331919098e+01,
+3.033253087e+07,-7.398244476e+01,
+3.033579196e+07,-7.305537415e+01,
+3.033905304e+07,-7.417671204e+01,
+3.034231413e+07,-7.445072937e+01,
+3.034557522e+07,-7.375640106e+01,
+3.034883630e+07,-7.356336975e+01,
+3.035209739e+07,-7.416825104e+01,
+3.035535848e+07,-7.322781372e+01,
+3.035861957e+07,-7.267802429e+01,
+3.036188065e+07,-7.324416351e+01,
+3.036514174e+07,-7.387790680e+01,
+3.036840283e+07,-7.214049530e+01,
+3.037166391e+07,-7.496080017e+01,
+3.037492500e+07,-7.403962708e+01,
+3.037818609e+07,-7.411157990e+01,
+3.038144717e+07,-7.413171387e+01,
+3.038470826e+07,-7.300138092e+01,
+3.038796935e+07,-7.151728058e+01,
+3.039123043e+07,-7.289790344e+01,
+3.039449152e+07,-7.529843903e+01,
+3.039775261e+07,-7.270489502e+01,
