Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
20:12:24 02.20.2018
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),8.616176,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+2.000000000e+04
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+01,MAN
VBW,+1.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,130.0 Hz,-72.97 dBm
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,-9.791416168e+00,
+4.347826087e+01,-6.612124634e+01,
+8.695652174e+01,-7.199388123e+01,
+1.304347826e+02,-7.297013855e+01,
+1.739130435e+02,-7.029855347e+01,
+2.173913043e+02,-7.016473389e+01,
+2.608695652e+02,-7.001531982e+01,
+3.043478261e+02,-7.271301270e+01,
+3.478260870e+02,-7.373754883e+01,
+3.913043478e+02,-7.571041870e+01,
+4.347826087e+02,-7.762358093e+01,
+4.782608696e+02,-7.496583557e+01,
+5.217391304e+02,-7.590507507e+01,
+5.652173913e+02,-7.659712219e+01,
+6.086956522e+02,-7.466656494e+01,
+6.521739130e+02,-7.702471924e+01,
+6.956521739e+02,-7.717416382e+01,
+7.391304348e+02,-7.299929810e+01,
+7.826086957e+02,-7.235285950e+01,
+8.260869565e+02,-7.653497314e+01,
+8.695652174e+02,-7.301924133e+01,
+9.130434783e+02,-7.426696777e+01,
+9.565217391e+02,-7.595843506e+01,
+1.000000000e+03,-8.027049255e+01,
+1.043478261e+03,-7.679373169e+01,
+1.086956522e+03,-7.568612671e+01,
+1.130434783e+03,-7.798855591e+01,
+1.173913043e+03,-7.286750793e+01,
+1.217391304e+03,-7.628733826e+01,
+1.260869565e+03,-7.584098816e+01,
+1.304347826e+03,-7.558677673e+01,
+1.347826087e+03,-7.107499695e+01,
+1.391304348e+03,-7.687773132e+01,
+1.434782609e+03,-7.615640259e+01,
+1.478260870e+03,-7.385971069e+01,
+1.521739130e+03,-7.290106201e+01,
+1.565217391e+03,-7.342185974e+01,
+1.608695652e+03,-8.124369812e+01,
+1.652173913e+03,-7.402250671e+01,
+1.695652174e+03,-7.359840393e+01,
+1.739130435e+03,-8.024101257e+01,
+1.782608696e+03,-7.912518311e+01,
+1.826086957e+03,-7.668707275e+01,
+1.869565217e+03,-7.841581726e+01,
+1.913043478e+03,-8.109771729e+01,
+1.956521739e+03,-7.578750610e+01,
+2.000000000e+03,-7.600291443e+01,
+2.043478261e+03,-7.526518250e+01,
+2.086956522e+03,-7.696179199e+01,
+2.130434783e+03,-7.708029175e+01,
+2.173913043e+03,-8.026422119e+01,
+2.217391304e+03,-7.995515442e+01,
+2.260869565e+03,-7.792411804e+01,
+2.304347826e+03,-7.761100769e+01,
+2.347826087e+03,-7.597526550e+01,
+2.391304348e+03,-8.016789246e+01,
+2.434782609e+03,-7.686097717e+01,
+2.478260870e+03,-7.428715515e+01,
+2.521739130e+03,-7.238323975e+01,
+2.565217391e+03,-7.916139221e+01,
+2.608695652e+03,-7.884860229e+01,
+2.652173913e+03,-7.784432983e+01,
+2.695652174e+03,-7.441493225e+01,
+2.739130435e+03,-8.134774780e+01,
+2.782608696e+03,-7.898966980e+01,
+2.826086957e+03,-7.847305298e+01,
+2.869565217e+03,-7.922805786e+01,
+2.913043478e+03,-7.859716797e+01,
+2.956521739e+03,-7.487217712e+01,
+3.000000000e+03,-7.800112915e+01,
+3.043478261e+03,-7.431880188e+01,
+3.086956522e+03,-7.860139465e+01,
+3.130434783e+03,-7.729283142e+01,
+3.173913043e+03,-7.613461304e+01,
+3.217391304e+03,-7.399708557e+01,
+3.260869565e+03,-7.830580139e+01,
+3.304347826e+03,-7.773023987e+01,
+3.347826087e+03,-7.305828857e+01,
+3.391304348e+03,-7.544711304e+01,
+3.434782609e+03,-8.283212280e+01,
+3.478260870e+03,-7.941961670e+01,
+3.521739130e+03,-8.487516785e+01,
+3.565217391e+03,-8.042633057e+01,
+3.608695652e+03,-7.674734497e+01,
+3.652173913e+03,-7.973168945e+01,
+3.695652174e+03,-7.882748413e+01,
+3.739130435e+03,-7.934712219e+01,
+3.782608696e+03,-7.563615417e+01,
+3.826086957e+03,-7.611988831e+01,
+3.869565217e+03,-7.933430481e+01,
+3.913043478e+03,-7.710818481e+01,
+3.956521739e+03,-8.260227966e+01,
+4.000000000e+03,-7.468663025e+01,
+4.043478261e+03,-7.977352905e+01,
+4.086956522e+03,-7.839323425e+01,
+4.130434783e+03,-7.614529419e+01,
+4.173913043e+03,-7.679541016e+01,
+4.217391304e+03,-7.920976257e+01,
+4.260869565e+03,-7.604180908e+01,
+4.304347826e+03,-7.599851990e+01,
+4.347826087e+03,-7.671485901e+01,
+4.391304348e+03,-7.737129211e+01,
+4.434782609e+03,-7.625259399e+01,
+4.478260870e+03,-7.969737244e+01,
+4.521739130e+03,-8.095967102e+01,
+4.565217391e+03,-8.073364258e+01,
+4.608695652e+03,-7.798396301e+01,
+4.652173913e+03,-8.019705200e+01,
+4.695652174e+03,-7.763043213e+01,
+4.739130435e+03,-8.075965881e+01,
+4.782608696e+03,-8.170974731e+01,
+4.826086957e+03,-7.934111023e+01,
+4.869565217e+03,-8.092134094e+01,
+4.913043478e+03,-7.826660156e+01,
+4.956521739e+03,-7.748257446e+01,
+5.000000000e+03,-7.385780334e+01,
+5.043478261e+03,-7.810823059e+01,
+5.086956522e+03,-7.747488403e+01,
+5.130434783e+03,-8.560845947e+01,
+5.173913043e+03,-7.458932495e+01,
+5.217391304e+03,-7.944726563e+01,
+5.260869565e+03,-8.087615967e+01,
+5.304347826e+03,-7.843147278e+01,
