#Title,Digilent WaveForms Spectrum Analyzer Data
#Device Name,Analog Discovery
#Serial Number,SN:210244693068
#Software Version,2.7.5
Frequency (Hz),Trace 1 (dB)
0,-0.0646236894398058
2.44140625,-6.08286329596776
4.8828125,-75.7962561404588
7.32421875,-80.4675328545947
9.765625,-90.4498503639001
12.20703125,-81.2619432978632
14.6484375,-93.8725496678173
17.08984375,-86.489496830403
19.53125,-85.7257341158627
21.97265625,-81.1784314861448
24.4140625,-81.7700335355734
26.85546875,-87.5941349063935
29.296875,-100.240970736938
31.73828125,-94.4366942281959
34.1796875,-89.484832017153
36.62109375,-106.393114857004
39.0625,-89.8042270328424
41.50390625,-97.6126871162857
43.9453125,-90.0666626603163
46.38671875,-93.2671824861865
48.828125,-97.8727896164006
51.26953125,-92.791032294506
53.7109375,-94.8769479784295
56.15234375,-87.8917565463338
58.59375,-77.3324027061378
61.03515625,-78.752810254375
63.4765625,-93.1840615779166
65.91796875,-92.3127470169197
68.359375,-93.6825824745476
70.80078125,-89.6252030149194
73.2421875,-93.5592622775436
75.68359375,-94.9866349184183
78.125,-92.1926852410009
80.56640625,-86.995628235814
83.0078125,-85.3258993275899
85.44921875,-94.4143992673964
87.890625,-94.1697854428509
90.33203125,-97.3861227564007
92.7734375,-102.270289193781
95.21484375,-90.4051349670423
97.65625,-92.8806899817859
100.09765625,-98.9285690986415
102.5390625,-94.696615980521
104.98046875,-94.7401158398952
107.421875,-96.6086871312452
109.86328125,-100.051422973636
112.3046875,-103.845606953651
114.74609375,-105.294367751002
117.1875,-100.471731416405
119.62890625,-97.8899942117681
122.0703125,-93.7880754765069
124.51171875,-90.1074215419263
126.953125,-89.0459312184314
129.39453125,-92.5919112411896
131.8359375,-102.284044033034
134.27734375,-96.6706161706721
136.71875,-93.9564922173608
139.16015625,-91.1230486965733
141.6015625,-90.4401441861134
144.04296875,-95.0312641777565
146.484375,-97.7459056064349
148.92578125,-102.215500706853
151.3671875,-90.830221185983
153.80859375,-90.1872870752706
156.25,-93.4115220777203
158.69140625,-94.2270509566347
161.1328125,-106.948645588774
163.57421875,-90.5156110076898
166.015625,-91.2485640021434
168.45703125,-93.9622945779675
170.8984375,-107.849061485675
173.33984375,-91.7027118003275
175.78125,-92.19846988538
178.22265625,-85.209058603024
180.6640625,-79.0464831750051
183.10546875,-86.213687145829
185.546875,-91.824241374521
187.98828125,-88.0692074302247
190.4296875,-95.5706485162712
192.87109375,-106.29545778325
195.3125,-97.9183950495263
197.75390625,-90.209963224271
200.1953125,-91.2051090199711
202.63671875,-91.410058682921
205.078125,-90.9683480299755
207.51953125,-99.1271652732925
209.9609375,-96.3168762703565
212.40234375,-98.6691402936757
214.84375,-112.403759665503
217.28515625,-90.3690018797533
219.7265625,-89.9148458320745
